id,medicine,therapeutic_category,subcategory,list_type,dosage_forms,text
eml-0de801df36f6,alcohol based hand rub,15. ANTISEPTICS AND DISINFECTANTS,15.2 Disinfectants,core,Solution:containing ethanol80%volume/volume. Solution:containing isopropyl alcohol75%volume/volume.,"alcohol based hand rub is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 15. ANTISEPTICS AND DISINFECTANTS; 15.2 Disinfectants. Listing: core. Available dosage forms/strengths: Solution:containing ethanol80%volume/volume. Solution:containing isopropyl alcohol75%volume/volume."
eml-bed342a50700,allopurinol,29. MEDICINES FOR DISEASES OF JOINTS,29.1 Medicines used to treat gout,core,Tablet:100mg.,"allopurinol is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 29. MEDICINES FOR DISEASES OF JOINTS; 29.1 Medicines used to treat gout. Listing: core. Available dosage forms/strengths: Tablet:100mg."
eml-ab27c5d0eb92,alteplase,7. ANTIMIGRAINE MEDICINES,12.5.2 Thrombolytic medicines,complementary,Powder for injection: 10 mg; 20 mg; 50 mg in vial,"alteplase is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 12.5.2 Thrombolytic medicines. Listing: complementary. Available dosage forms/strengths: Powder for injection: 10 mg; 20 mg; 50 mg in vial"
eml-c4d6b0e6bfb5,amiloride,16. DIURETICS,,core,Tablet:5mg(hydrochloride).,"amiloride is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS. Listing: core. Available dosage forms/strengths: Tablet:5mg(hydrochloride)."
eml-9103db395022,amitriptyline,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Tablet:10mg;25mg;75mg.,"amitriptyline is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Tablet:10mg;25mg;75mg."
eml-d3c6522feea2,amitriptyline,24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS,24.2.1 Medicines for depressive disorders,core,Tablet:25mg;75mg(hydrochloride).,"amitriptyline is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS; 24.2.1 Medicines for depressive disorders. Listing: core. Available dosage forms/strengths: Tablet:25mg;75mg(hydrochloride)."
eml-16b28892e3fa,amodiaquine-sulfadoxine+pyrimethamine,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Co-packaged dispersible tablets: amodiaquine76.5mg(as hydrochloride)[3]and sulfadoxine+pyrimethamine250mg+12.5mg[1]; amodiaquine153mg(as hydrochloride)[3]and sulfadoxine+pyrimethamine500mg+25mg[1].,"amodiaquine-sulfadoxine+pyrimethamine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Co-packaged dispersible tablets: amodiaquine76.5mg(as hydrochloride)[3]and sulfadoxine+pyrimethamine250mg+12.5mg[1]; amodiaquine153mg(as hydrochloride)[3]and sulfadoxine+pyrimethamine500mg+25mg[1]."
eml-08b0a179f707,ansuvimab,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,Powder for injection:400mg,"ansuvimab is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Powder for injection:400mg"
eml-cac8d49c40cb,anti-rabies virus monoclonal antibodies,18. MEDICINES FOR ENDOCRINE DISORDERS,"19.2 Sera, immunoglobulins and monoclonal antibodies",core,"Injection:40IU/mLin1.25mL,2.5mLvial;100IU/mLin2.5mLvial(human). Injection:300IU/mLin10mLvial;600IU/mLin1mL,2.5mLand5mLvial(murine).","anti-rabies virus monoclonal antibodies is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 19.2 Sera, immunoglobulins and monoclonal antibodies. Listing: core. Available dosage forms/strengths: Injection:40IU/mLin1.25mL,2.5mLvial;100IU/mLin2.5mLvial(human). Injection:300IU/mLin10mLvial;600IU/mLin1mL,2.5mLand5mLvial(murine)."
eml-7e50e9b2bb54,antivenom immunoglobulin,18. MEDICINES FOR ENDOCRINE DISORDERS,"19.2 Sera, immunoglobulins and monoclonal antibodies",core,Injection. *Exact type to be defined locally.,"antivenom immunoglobulin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 19.2 Sera, immunoglobulins and monoclonal antibodies. Listing: core. Available dosage forms/strengths: Injection. *Exact type to be defined locally."
eml-53e9c84c2779,aprepitant,16. DIURETICS,17.2 Antiemetic medicines,complementary,Capsule:80mg;125mg;165mgPowder for oral suspension:125mg in sachet,"aprepitant is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS; 17.2 Antiemetic medicines. Listing: complementary. Available dosage forms/strengths: Capsule:80mg;125mg;165mgPowder for oral suspension:125mg in sachet"
eml-d96a1249c5a2,arsenic trioxide,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Concentrate for solution for infusion:1mg/mL;2mg/mL - Acute promyelocytic leukaemia,"arsenic trioxide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Concentrate for solution for infusion:1mg/mL;2mg/mL - Acute promyelocytic leukaemia"
eml-43eddb48dbb5,artesunate,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,"Injection: ampoules, containing 60 mg anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution. For use in the management of severe malaria. Rectal dosage form: 50 mg [c]; 100 mg [c]; 200 mg capsules (for pre-referral treatment of severe malaria only; patients should be taken to an appropriate health facility for follow-up care) [c]. Tablet: 50 mg. *To be used in combination with either amodiaquine, mefloquine or sulfadoxine + pyrimethamine.","artesunate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Injection: ampoules, containing 60 mg anhydrous artesunic acid with a separate ampoule of 5% sodium bicarbonate solution. For use in the management of severe malaria. Rectal dosage form: 50 mg [c]; 100 mg [c]; 200 mg capsules (for pre-referral treatment of severe malaria only; patients should be taken to an appropriate health facility for follow-up care) [c]. Tablet: 50 mg. *To be used in combination with either amodiaquine, mefloquine or sulfadoxine + pyrimethamine."
eml-d3592bfe1dd7,artesunate+amodiaquine,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Tablet: 25 mg+67.5 mg; 50 mg+135 mg; 100 mg+270 mg. *Other combinations that deliver the target doses required such as 153 mg or 200 mg (as hydrochloride) with 50 mg artesunate can be alternatives.,"artesunate+amodiaquine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Tablet: 25 mg+67.5 mg; 50 mg+135 mg; 100 mg+270 mg. *Other combinations that deliver the target doses required such as 153 mg or 200 mg (as hydrochloride) with 50 mg artesunate can be alternatives."
eml-8e1e0fd71a09,artesunate+mefloquine,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Tablet: 25 mg+55 mg; 100 mg+220 mg.,"artesunate+mefloquine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Tablet: 25 mg+55 mg; 100 mg+220 mg."
eml-3429770c9311,artesunate+pyronaridine tetraphosphate,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.3 Medicines for parkinsonism,core,Granules: 20 mg+60 mg [c]. Tablet: 60 mg+180 mg. &gt;5kg,"artesunate+pyronaridine tetraphosphate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.3 Medicines for parkinsonism. Listing: core. Available dosage forms/strengths: Granules: 20 mg+60 mg [c]. Tablet: 60 mg+180 mg. &gt;5kg"
eml-0e4474d90be8,artesunate+pyronaridine tetraphosphate,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;5kg,"artesunate+pyronaridine tetraphosphate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;5kg"
eml-da5f0b3dc85c,ascorbic acid,27. VITAMINS AND MINERALS,,core,Tablet:50mg.,"ascorbic acid is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 27. VITAMINS AND MINERALS. Listing: core. Available dosage forms/strengths: Tablet:50mg."
eml-81b3894a4b72,asparaginase,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Powder for injection:10000IU in vial. - Acute lymphoblastic leukaemia.,"asparaginase is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Powder for injection:10000IU in vial. - Acute lymphoblastic leukaemia."
eml-8c73b099d033,atottivimab+maftivimab+odesivimab,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,Injection:241.7mg+241.7mg+241.7mgin14.5mLvial,"atottivimab+maftivimab+odesivimab is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Injection:241.7mg+241.7mg+241.7mgin14.5mLvial"
eml-1ab13df3b94b,atropine,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.3 Preoperative medication and sedation for short-term procedures,core,Injection: 1 mg (sulfate) in 1 mL ampoule.,"atropine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.3 Preoperative medication and sedation for short-term procedures. Listing: core. Available dosage forms/strengths: Injection: 1 mg (sulfate) in 1 mL ampoule."
eml-a69204b03231,atropine,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,4.2 Specific,core,Injection:1mg(sulfate)in1mLampoule.,"atropine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS; 4.2 Specific. Listing: core. Available dosage forms/strengths: Injection:1mg(sulfate)in1mLampoule."
eml-38b1fc121ba8,atropine,21. OPHTHALMOLOGICAL PREPARATIONS,21.5 Mydriatics,core,Solution(eye drops):0.1%;0.5%;1%(sulfate). &gt;3 months.,"atropine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.5 Mydriatics. Listing: core. Available dosage forms/strengths: Solution(eye drops):0.1%;0.5%;1%(sulfate). &gt;3 months."
eml-8c0a8a7667ad,atropine,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;3months,"atropine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;3months"
eml-02fd1e02cca7,azathioprine,7. ANTIMIGRAINE MEDICINES,8.1 Immunomodulators for non-malignant disease,complementary,Oral liquid:10mg/mL[c].Powder for injection:50mg[c];100mg(as sodium salt)in vial.Tablet:25mg[c].Tablet(scored):50mg.,"azathioprine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.1 Immunomodulators for non-malignant disease. Listing: complementary. Available dosage forms/strengths: Oral liquid:10mg/mL[c].Powder for injection:50mg[c];100mg(as sodium salt)in vial.Tablet:25mg[c].Tablet(scored):50mg."
eml-a4ece2fc00cc,azathioprine,29. MEDICINES FOR DISEASES OF JOINTS,29.2 Disease-modifying anti-rheumatic drugs(DMARDs),complementary,Tablet:50mg.,"azathioprine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 29. MEDICINES FOR DISEASES OF JOINTS; 29.2 Disease-modifying anti-rheumatic drugs(DMARDs). Listing: complementary. Available dosage forms/strengths: Tablet:50mg."
eml-67bf915cc63a,azithromycin,21. OPHTHALMOLOGICAL PREPARATIONS,21.1 Anti-Infective agents,core,Solution(eye drops):1.5%. -Trachoma,"azithromycin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.1 Anti-Infective agents. Listing: core. Available dosage forms/strengths: Solution(eye drops):1.5%. -Trachoma"
eml-5bc382856376,barium sulfate,14. DIAGNOSTIC AGENTS,14.2 Radiocontrast media,complementary,Aqueous suspension.,"barium sulfate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 14. DIAGNOSTIC AGENTS; 14.2 Radiocontrast media. Listing: complementary. Available dosage forms/strengths: Aqueous suspension."
eml-daa59dbdd0ad,bendamustine,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Injection:45mg/0.5mL;180mg/2mL - Chronic lymphocytic leukaemia - Follicular lymphoma,"bendamustine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Injection:45mg/0.5mL;180mg/2mL - Chronic lymphocytic leukaemia - Follicular lymphoma"
eml-b5b8db5e8b0a,benznidazole,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,Tablet:12.5mg[c]Tablet(scored):50mg;100mg.,"benznidazole is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Tablet:12.5mg[c]Tablet(scored):50mg;100mg."
eml-01b5074f4a27,benzoyl peroxide,7. ANTIMIGRAINE MEDICINES,13.4 Medicines affecting skin differentiation and proliferation,core,Cream or lotion:5%。,"benzoyl peroxide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 13.4 Medicines affecting skin differentiation and proliferation. Listing: core. Available dosage forms/strengths: Cream or lotion:5%。"
eml-03d594e36411,benzyl benzoate,7. ANTIMIGRAINE MEDICINES,13.5 Scabicides and pediculicides,core,Lotion:25%。>2 years。,"benzyl benzoate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 13.5 Scabicides and pediculicides. Listing: core. Available dosage forms/strengths: Lotion:25%。>2 years。"
eml-0a4f813ad8cd,benzyl benzoate,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;2years,"benzyl benzoate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;2years"
eml-0be4f33f02a4,betamethasone,7. ANTIMIGRAINE MEDICINES,13.3 Anti-Inflammatory and antipruritic medicines,core,Cream or ointment:0.1% (as valerate).Hydrocortisone preferred in neonates。,"betamethasone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 13.3 Anti-Inflammatory and antipruritic medicines. Listing: core. Available dosage forms/strengths: Cream or ointment:0.1% (as valerate).Hydrocortisone preferred in neonates。"
eml-2a5817bada57,betamethasone topical preparations,30. DENTAL MEDICINES AND PREPARATIONS,,core,hydrocortisone preferred in neonates,"betamethasone topical preparations is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: hydrocortisone preferred in neonates"
eml-6de954aa0d91,bevacizumab,21. OPHTHALMOLOGICAL PREPARATIONS,21.6 Anti-vascular endothelial growth factor(VEGF) preparations,complementary,Injection:25mg/mL,"bevacizumab is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.6 Anti-vascular endothelial growth factor(VEGF) preparations. Listing: complementary. Available dosage forms/strengths: Injection:25mg/mL"
eml-cb701e13358b,bleomycin,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Powder for injection:15000IU(as sulfate)in vial. - Hodgkin lymphoma - Kaposi sarcoma - Ovarian germ cell tumour - Testicular germ cell tumour,"bleomycin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Powder for injection:15000IU(as sulfate)in vial. - Hodgkin lymphoma - Kaposi sarcoma - Ovarian germ cell tumour - Testicular germ cell tumour"
eml-60da6b6009a3,budesonide,"28. EAR, NOSE AND THROAT MEDICINES",,core,Nasal spray:100 micrograms per dose.,"budesonide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 28. EAR, NOSE AND THROAT MEDICINES. Listing: core. Available dosage forms/strengths: Nasal spray:100 micrograms per dose."
eml-ce4e07e9c9a6,bupivacaine,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.2 Local anaesthetics,core,Injection: 0.25%; 0.5% (hydrochloride) in vial. Injection for spinal anaesthesia: 0.5% (hydrochloride) in 4 mL ampoule to be mixed with 7.5% glucose solution.,"bupivacaine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.2 Local anaesthetics. Listing: core. Available dosage forms/strengths: Injection: 0.25%; 0.5% (hydrochloride) in vial. Injection for spinal anaesthesia: 0.5% (hydrochloride) in 4 mL ampoule to be mixed with 7.5% glucose solution."
eml-166854076f63,bupropion,24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS,24.5.2 Medicines for nicotine use disorders,core,Tablet (sustained-release): 150 mg (hydrochloride).,"bupropion is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS; 24.5.2 Medicines for nicotine use disorders. Listing: core. Available dosage forms/strengths: Tablet (sustained-release): 150 mg (hydrochloride)."
eml-22193bf72c91,cabergoline,18. MEDICINES FOR ENDOCRINE DISORDERS,18.8 Medicines for disorders of the pituitary hormone system,core,Tablet: 0.5mg; 1mg,"cabergoline is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 18.8 Medicines for disorders of the pituitary hormone system. Listing: core. Available dosage forms/strengths: Tablet: 0.5mg; 1mg"
eml-d6c157fcab86,caffeine citrate,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.6 Medicines administered to the neonate[c],core,Injection:20mg/mL(equivalent to10mg caffeine base/mL).Oral liquid:20mg/mL(equivalent to10mg caffeine base/mL).,"caffeine citrate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.6 Medicines administered to the neonate[c]. Listing: core. Available dosage forms/strengths: Injection:20mg/mL(equivalent to10mg caffeine base/mL).Oral liquid:20mg/mL(equivalent to10mg caffeine base/mL)."
eml-eda42049a09c,calamine,7. ANTIMIGRAINE MEDICINES,13.3 Anti-Inflammatory and antipruritic medicines,core,Lotion。,"calamine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 13.3 Anti-Inflammatory and antipruritic medicines. Listing: core. Available dosage forms/strengths: Lotion。"
